@id,dc:source,dct:description,op:featureOfInterest,op:objectOfInterest,qudt:generalization,qudt:generalizationOfSystem,qudt:specialization,qudt:unit,rdf:type,rdfs:comment,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:broaderTransitive,skos:changeNote,skos:definition,skos:historyNote,skos:member,skos:narrower,skos:notation,skos:prefLabel,skos:related
<http://registry.it.csiro.au/def/environment/property/C10_C14_Fraction_concentration>,eReefs,'concentration of C10 to C14 hydrocarbons'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/C10_C14_hydrocarbon_fraction>,<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",C10 - C14 hydrocarbon fraction concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>,"","",'concentration of C10 to C14 hydrocarbons'^^xsd:string,"","","","",'C10 - C14 hydrocarbon fraction concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/C10_C36_Fraction_concentration>,eReefs,'Sum of concentration of C10 to C36 hydrocarbons'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/C10_C36_hydrocarbon_fraction>,<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",C10 - C236 hydrocarbon fraction concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>,"","",'Sum of concentration of C10 to C36 hydrocarbons'^^xsd:string,"","","","",'C10 - C236 hydrocarbon fraction concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/C15_C28_Fraction_concentration>,eReefs,'concentration of C15 to C28 hydrocarbons'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/C15_C28_hydrocarbon_fraction>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",C15 - C28 hydrocarbon fraction concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>,"","",'concentration of C15 to C28 hydrocarbons'^^xsd:string,"","","","",'C15 - C28 hydrocarbon fraction concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/C29_C36_Fraction_concentration>,eReefs,'concentration of C29 to C36 hydrocarbons'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/C29_C36_hydrocarbon_fraction>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",C29 - C36 hydrocarbon fraction concentration,"","",<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",'concentration of C29 to C36 hydrocarbons'^^xsd:string,"","","","",'C29 - C36 hydrocarbon fraction concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/C6_C9_Fraction_concentration>,eReefs,'concentration of C6 to C9 hydrocarbons'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/C6_C9_hydrocarbon_fraction>,<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",C6 - C9 hydrocarbon fraction concentration,"","",<http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",'concentration of C6 to C9 hydrocarbons'^^xsd:string,"","","","",'C6 - C9 hydrocarbon fraction concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/Cl_36_ratio>,eReefs,"'Chlorine 36 used for isotopic age measurements, ratio of 36Cl/Cl x10-15'^^xsd:string","",<http://registry.it.csiro.au/def/environment/object/chlorine>,<http://qudt.org/vocab/quantity#DimensionlessRatio>,"","",<http://qudt.org/vocab/unit#Unitless>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",36Cl_Cl ratio,"","",<http://qudt.org/vocab/quantity#DimensionlessRatio>,"","","'Chlorine 36 used for isotopic age measurements, ratio of 36Cl/Cl x10-15'^^xsd:string","","","",'36Cl/Cl'^^xsd:string,'36Cl_Cl ratio'@en,""
<http://registry.it.csiro.au/def/environment/property/PH>,"",'negative logarithm of hydrogen ion concentration in ph units'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/hydron>,<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/pH_water>,<http://http://registry.it.csiro.au/def/environment/unit/pH>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind|qudt:QuantityKind,'Hydrogen ion potential'^^xsd:string,'pH'^^xsd:string,<http://dbpedia.org/resource/PH>,"",<http://qudt.org/vocab/quantity#Concentration>,"","",'negative logarithm of hydrogen ion concentration in ph units'^^xsd:string,"","","","",'pH'^^xsd:string,""
<http://registry.it.csiro.au/def/environment/property/absorption_by_colored_dissolved_organic_solids>,eReefs,'absorption by colored dissolved organic matter'@en,"",<http://registry.it.csiro.au/def/environment/object/organic_molecular_entity>|<http://vocab.nerc.ac.uk/collection/C77/current/B06/>,<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,skos:Concept|op:ScaledQuantityKind|qudt:OpticsQuantityKind,"",absorption by colored dissolved organic matter,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'absorption by colored dissolved organic matter'@en,<http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic>
<http://registry.it.csiro.au/def/environment/property/absorption_by_coloured_and_detrital_matter>,eReefs,'absorption by coloured and detrital matter'@en,"",<http://registry.it.csiro.au/def/environment/object/coloured_and_detrital_matter>,<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,op:ScaledQuantityKind|skos:Concept|qudt:OpticsQuantityKind,"",absorption by coloured and detrital matter,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'absorption by coloured and detrital matter'@en,<http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic>
<http://registry.it.csiro.au/def/environment/property/absorption_by_non-algal_particles>,eReefs,'absorption by non-algal particles'@en,"",<http://registry.it.csiro.au/def/environment/object/non-algal_particles>,<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,qudt:OpticsQuantityKind|op:ScaledQuantityKind|skos:Concept,"",absorption by non-algal particles,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'absorption by non-algal particles'@en,<http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic>
