@id,qudt:abbreviation,qudt:code,qudt:conversionMultiplier,qudt:conversionOffset,qudt:currencyExponent,qudt:description,qudt:exactMatch,qudt:literal,qudt:quantityKind,qudt:symbol,qudt:uneceCommonCode,rdf:type,rdfs:label,skos:closeMatch,skos:exactMatch
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abampere>,'abA'^^xsd:string,'0005'^^xsd:string,10,0.0,"","'The abampere (aA), also called the biot after Jean-Baptiste Biot, is the basic electromagnetic unit of electric current in the emu-cgs system of units (electromagnetic cgs). One abampere is equal to ten amperes in the SI system of units. [Wikipedia]'^^xsd:string","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricCurrent>,'abA'^^xsd:string,"",qudt:ElectricCurrentUnit|qudt:NotUsedWithSIUnit|qudt:Unit,'Abampere'^^xsd:string,"",<http://dbpedia.org/resource/Abampere>|<http://qudt.org/vocab/unit#Abampere>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbamperePerSquareCentimeter>,'abA / cm^2'^^xsd:string,"",100000,0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricCurrentDensity>,"","",qudt:Unit|qudt:ElectricCurrentDensityUnit,'Abampere per Square Centimeter'^^xsd:string,"",<http://qudt.org/vocab/unit#AbamperePerSquareCentimeter>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abcoulomb>,'abC'^^xsd:string,'0010'^^xsd:string,10.0e0,0.0,"",'The abcoulomb (abC or aC) or electromagnetic unit of charge (emu of charge) is the basic physical unit of electric charge in the cgs-emu system of units. One abcoulomb is equal to ten coulombs. [Wikipedia]'^^xsd:string,"","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricCharge>,'abC'^^xsd:string,"",qudt:ElectricChargeUnit|qudt:NotUsedWithSIUnit|qudt:Unit,'Abcoulomb'^^xsd:string,"",<http://qudt.org/vocab/unit#Abcoulomb>|<http://dbpedia.org/resource/Abcoulomb>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbcoulombPerSquareCentimeter>,"","",1.0E-3,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricChargePerArea>,'abC/cm^2'^^xsd:string,"",qudt:Unit|qudt:ElectricChargeAreaDensityUnit,'Abcoulomb per Square Centimeter'^^xsd:string,"",<http://qudt.org/vocab/unit#AbcoulombPerSquareCentimeter>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abfarad>,'abF'^^xsd:string,'0015'^^xsd:string,1.0E9,0.0,"","'An abfarad is an obsolete electromagnetic (CGS) unit of capacitance equal to 10^9 farads (1,000,000,000 F or 1 GF). This very large unit is used in medical terminology only. [Wikipedia]'^^xsd:string","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Capacitance>,'abF'^^xsd:string,"",qudt:Unit|qudt:CapacitanceUnit|qudt:NotUsedWithSIUnit,'Abfarad'^^xsd:string,"",<http://qudt.org/vocab/unit#Abfarad>|<http://dbpedia.org/resource/Abfarad>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbfaradPerCentimeter>,"","",1.0E11,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Permittivity>,'abF/cm'^^xsd:string,"",qudt:Unit|qudt:PermittivityUnit,'Abfarad per Centimeter'^^xsd:string,"",<http://qudt.org/vocab/unit#AbfaradPerCentimeter>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abhenry>,'abH'^^xsd:string,'0020'^^xsd:string,1.0E-9,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Inductance>,'abH'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:Unit|qudt:InductanceUnit,'Abhenry'^^xsd:string,"",<http://qudt.org/vocab/unit#Abhenry>|<http://dbpedia.org/resource/Abhenry>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abohm>,'abOhm'^^xsd:string,'0030'^^xsd:string,1.0E-9,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Resistance>,'abOhm'^^xsd:string,"",qudt:Unit|qudt:ResistanceUnit|qudt:NotUsedWithSIUnit,'Abohm'^^xsd:string,"",<http://qudt.org/vocab/unit#Abohm>|<http://dbpedia.org/resource/Abohm>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Absiemen>,'aS'^^xsd:string,'0025'^^xsd:string,1.0E9,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricConductivity>,'aS'^^xsd:string,"",qudt:Unit|qudt:ConductanceUnit|qudt:NotUsedWithSIUnit,'Absiemen'^^xsd:string,"",<http://qudt.org/vocab/unit#Absiemen>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abtesla>,"","",1.0E-4,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/MagneticField>|<http://qudt.org/vocab/quantity#AuxillaryMagneticField>,'abT'^^xsd:string,"",qudt:MagneticFluxDensityUnit|qudt:Unit|qudt:MagneticFieldStrengthUnit,'Abtesla'^^xsd:string,"",<http://qudt.org/vocab/unit#Abtesla>
