native,class
wind direction scalar standard 10 minutes,wind direction
one hour wind speed peak 4m above ground level,wind speed
daily cumulative global radiation downward shortwave since local midnight,global radiation
one hour mean wind speed 1m above ground level,wind speed
9am wind speed,wind speed
wind direction vector average 30 minutes,wind direction
wind speed scalar avg 30 min,wind speed
rainfall,rainfall
one hour mean wind direction 4m above ground level,wind direction
maximum wind gust in one hour period prior to observation time at 4m,maximum wind gust
minimum wind speed 10 minutes,wind speed
relative humidity,relative humidity
9am cloud amount,cloud amount
maximum wind gust in one hour period prior to observation time at 2m,maximum wind gust
air temperature,air temperature
sunshine,hours of sunlight
wind speed,wind speed
9am wind direction,wind direction
rain duration,rain duration
wind direction scalar standard 30 minutes,wind direction
air temperature 4m above ground level,air temperature
temperature inside aws electronics box,air temperature
minimum wind speed 30 minutes,wind speed
wind direction vector standard 10 minutes,wind direction
3pm wind speed,wind speed
par,par
wind direction vector standard 30 minutes,wind direction
subsurface temperature 1m below ground level,subsurface temperature
maximum wind gust in ten minute period prior to observation time at 2m,maximum wind gust
3pm temperature,air temperature
minimum temperature,air temperature
rain accumulation,rain accumulation
wind speed scalar avg 10 min,wind speed
hourly vector average wind speed,wind speed
wind direction scalar average 10 minutes,wind direction
9am msl pressure,msl pressure
subsurface temperature 10m below ground level,subsurface temperature
air temperature 1m above ground level,air temperature
air pressure,air pressure
temperature,air temperature
evaporation,evaporation
9am temperature,air temperature
3pm relative humidity,relative humidity
relative humidity 4m above ground level,relative humidity
time of maximum wind gust,maximum wind gust
wind vector e / w,wind velocity
subsurface temperature 10cm below ground level,subsurface temperature
rain intensity,rain intensity
tsr,tsr
air temperature 2m above ground level,air temperature
wind direction,wind direction
barometric pressure,barometric pressure
maximum temperature,maximum temperature
direction of maximum wind gust,maximum wind gust
hourly vector average wind speed 4m above ground level,wind speed
one hour mean wind speed 2m above ground level,wind speed
nett snow accumulation since station installation,snow accumulation
subsurface temperature 7m below ground level,subsurface temperature
wind direction scalar average 30 minutes,wind direction
3pm wind direction,wind direction
dew point,dew point temperature
speed of maximum wind gust,maximum wind gust
one hour mean wind speed 4m above ground level,wind speed
maximum wind speed 10 minutes,wind speed
hourly vector average wind direction 4m above ground level,wind direction
humidity,relative humidity
subsurface temperature 3m below ground level,subsurface temperature
wind direction vector average 10 minutes,wind direction
3pm cloud amount,cloud amount
3pm msl pressure,msl pressure
maximum wind speed 30 minutes,wind speed
wind vector n / s,wind velocity
maximum wind gust in ten minute period prior to observation time at 4m,maximum wind gust
9am relative humidity,relative humidity
