processed_name,proper_name,suggested_unit,suggested_unit_url,url
c10 c14 hydrocarbon fraction concentration,C10 - C14 hydrocarbon fraction concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/C10_C14_Fraction_concentration
c10 c236 hydrocarbon fraction concentration,C10 - C236 hydrocarbon fraction concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/C10_C36_Fraction_concentration
c15 c28 hydrocarbon fraction concentration,C15 - C28 hydrocarbon fraction concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/C15_C28_Fraction_concentration
c29 c36 hydrocarbon fraction concentration,C29 - C36 hydrocarbon fraction concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/C29_C36_Fraction_concentration
c6 c9 hydrocarbon fraction concentration,C6 - C9 hydrocarbon fraction concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/C6_C9_Fraction_concentration
36cl cl ratio,36Cl_Cl ratio,Unitless,http://qudt.org/vocab/unit#Unitless,http://registry.it.csiro.au/def/environment/property/Cl_36_ratio
ph,pH,pH,http://registry.it.csiro.au/def/environment/unit/pH,http://registry.it.csiro.au/def/environment/property/PH
absorption by colored dissolved organic matter,absorption by colored dissolved organic matter,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_by_colored_dissolved_organic_solids
absorption by coloured and detrital matter,absorption by coloured and detrital matter,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_by_coloured_and_detrital_matter
absorption by non algal particles,absorption by non-algal particles,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_by_non-algal_particles
absorption by particles,absorption by particles,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_by_particles
absorption by phytoplankton,absorption by phytoplankton,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_by_phytoplankton
total absorption,total absorption,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/absorption_total
acenaphthylene concentration,acenaphthylene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/acenaphthylene_concentration
actinide concentration,actinide concentration,,,http://registry.it.csiro.au/def/environment/property/actinide_concentration
active sediment layer thickness,active sediment layer thickness,Meter,http://qudt.org/vocab/unit#Meter,http://registry.it.csiro.au/def/environment/property/active_sediment_layer_thickness
air pressure,air pressure,Pascal,http://qudt.org/vocab/unit#Pascal,http://registry.it.csiro.au/def/environment/property/air_pressure
air temperature,air temperature,Degree Celsius,http://qudt.org/vocab/unit#DegreeCelsius,http://registry.it.csiro.au/def/environment/property/air_temperature
aldrin concentration,aldrin concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/aldrin_concentration
alkali metal concentration,alkali metal concentration,,,http://registry.it.csiro.au/def/environment/property/alkali_metal_concentration
alkaline earth metal concentration,alkaline earth metal concentration,,,http://registry.it.csiro.au/def/environment/property/alkaline_earth_metal_concentration
bicarbonate alkalinity as caco3,bicarbonate alkalinity as CaCO3,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/alkalinity-bicarbonate_as_CaCO3
carbonate alkalinity as caco3,carbonate alkalinity as CaCO3,Milligrams Per Litre | Mol Percent,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/alkalinity-carbonate_as_CaCO3
hydroxide alkalinity as caco3,hydroxide alkalinity as CaCO3,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/alkalinity-hydroxide_as_CaCO3
residual alkalinity hazard,residual alkalinity hazard,Milli Equivalent Per Litre,http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre,http://registry.it.csiro.au/def/environment/property/alkalinity-residual_hazard
total alkalinity as caco3,total alkalinity as CaCO3,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/alkalinity_total_CaCO3
alpha endosulfan concentration,alpha-endosulfan concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/alpha-endosulfan_concentration
alpha hexachlorocyclohexane concentration,alpha-hexachlorocyclohexane concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/alpha-hexachlorocyclohexane_concentration
aluminium concentration,aluminium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/aluminium_concentration
ammonia and ammonium as nh4 concentration,ammonia and ammonium as NH4 concentration,,,http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_NH4_concentration
ammonia and ammonium as n concentration,ammonia and ammonium as N concentration,,,http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_N_concentration
ammonia and ammonium concentration,ammonia and ammonium concentration,,,http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration
ammonia as n concentration,ammonia as N concentration,Milligrams Per Litre | Milligrams Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter,http://registry.it.csiro.au/def/environment/property/ammonia_as_N_concentration
