abbreviation,processed_name,proper_name,url
abA,abampere,Abampere,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abampere
abA / cm^2,abampere per square centimeter,Abampere per Square Centimeter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbamperePerSquareCentimeter
abC,abcoulomb,Abcoulomb,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abcoulomb
abC/cm^2,abcoulomb per square centimeter,Abcoulomb per Square Centimeter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbcoulombPerSquareCentimeter
abF,abfarad,Abfarad,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abfarad
abF/cm,abfarad per centimeter,Abfarad per Centimeter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbfaradPerCentimeter
abH,abhenry,Abhenry,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abhenry
abOhm,abohm,Abohm,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abohm
aS,absiemen,Absiemen,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Absiemen
abT,abtesla,Abtesla,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abtesla
abV,abvolt,Abvolt,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Abvolt
abV cm,abvolt centimeter,Abvolt Centimeter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbvoltCentimeter
abV/cm,abvolt per centimeter,Abvolt per centimeter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbvoltPerCentimeter
abV-s,abvolt second,Abvolt Second,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AbvoltSecond
ac,acre,Acre,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Acre
ac-ft,acre foot,Acre Foot,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AcreFoot
AFN,afghani,Afghani,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Afghani
DZD,algerian dinar,Algerian Dinar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AlgerianDinar
A,ampere,Ampere,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Ampere
A-hr,ampere hour,Ampere Hour,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmpereHour
A/deg,ampere per degree,Ampere per Degree,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmperePerDegree
A J^-1,ampere per joule,Ampere per Joule,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmperePerJoule
A/m,ampere per meter,Ampere per Meter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmperePerMeter
A/rad,ampere per radian,Ampere per Radian,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmperePerRadian
A/m^2,ampere per square meter,Ampere per Square Meter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmperePerSquareMeter
At,ampere turn,Ampere Turn,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmpereTurn
At/in,ampere turn per inch,Ampere Turn per Inch,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmpereTurnPerInch
At/m,ampere turn per meter,Ampere Turn per Meter,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AmpereTurnPerMeter
Å,angstrom,Angstrom,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Angstrom
arcMin,arc minute,Arc Minute,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/ArcMinute
arcSec,arc second,Arc Second,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/ArcSecond
a,are,Are,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Are
ARS,argentine peso,Argentine Peso,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/ArgentinePeso
AMD,armenian dram,Armenian Dram,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/ArmenianDram
AWG,aruban guilder,Aruban Guilder,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/ArubanGuilder
au,astronomical unit,Astronomical Unit,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AstronomicalUnit
u,atomic mass unit,Atomic mass unit,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Dalton2
Z,atomic number,Atomic Number,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AtomicNumber
a,atto,Atto,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Atto
AUD,australian dollar,Australian Dollar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AustralianDollar
AZN,azerbaijanian manat,Azerbaijanian Manat,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/AzerbaijanianManat
BSD,bahamian dollar,Bahamian Dollar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/BahamianDollar
BHD,bahraini dinar,Bahraini Dinar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/BahrainiDinar
THB,baht,Baht,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Baht
PAB,balboa,Balboa,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Balboa
ban,ban,Ban,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Ban
BDT,bangladeshi taka,Bangladeshi Taka,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/BangladeshiTaka
bar,bar,Bar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Bar
BBD,barbados dollar,Barbados Dollar,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/BarbadosDollar
b,barn,Barn,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Barn
bbl,barrel,Barrel,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Barrel
Bq,becquerel,Becquerel,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Becquerel
