class,native
1 1 1 2 tetrachloroethane concentration,1 1 1 2 tetrachloroethane concentration
1 1 1 trichloroethane concentration,1 1 1 trichloroethane concentration
1 1 2 2 tetrachloroethane concentration,1 1 2 2 tetrachloroethane concentration
1 1 2 trichloroethane concentration,1 1 2 trichloroethane concentration
1 1 dichloro 1 propene concentration,1 1 dichloro 1 propene concentration
1 1 dichloroethane concentration,1 1 dichloroethane concentration
1 1 dichloroethene concentration,1 1 dichloroethene concentration
1 2 3 trichlorobenzene concentration,1 2 3 trichlorobenzene concentration
1 2 3 trichloropropane concentration,1 2 3 trichloropropane concentration
1 2 4 trichlorobenzene concentration,1 2 4 trichlorobenzene concentration
1 2 4 trimethylbenzene concentration,1 2 4 trimethylbenzene concentration
1 2 dibromo 3 chloropropane concentration,1 2 dibromo 3 chloropropane concentration
1 2 dibromoethane concentration,1 2 dibromoethane concentration
1 2 dichlorobenzene concentration,1 2 dichlorobenzene concentration
1 2 dichloroethane concentration,1 2 dichloroethane concentration
1 2 dichloroethane d4 concentration,1 2 dichloroethane d4 concentration
1 2 dichloropropane concentration,1 2 dichloropropane concentration
1 2 dihydroacenaphthylene concentration,1 2 dihydroacenaphthylene concentration
1 3 1 4 dimethylbenzene concentration,1 3 1 4 dimethylbenzene concentration
1 3 5 trimethylbenzene concentration,1 3 5 trimethylbenzene concentration
1 3 dichlorobenzene concentration,1 3 dichlorobenzene concentration
1 3 dichloropropane concentration,1 3 dichloropropane concentration
1 4 dichlorobenzene concentration,1 4 dichlorobenzene concentration
1 bromo 4 fluorobenzene concentration,1 bromo 4 fluorobenzene concentration
1 chloro 2 methylbenzene concentration,1 chloro 2 methylbenzene concentration
1 chloro 4 methylbenzene concentration,1 chloro 4 methylbenzene concentration
1 phenylbutane concentration,1 phenylbutane concentration
2 2 dichloropropane concentration,2 2 dichloropropane concentration
2 2 dimethylpropane concentration,2 2 dimethylpropane concentration
2 4 5 trichlorophenol concentration,2 4 5 trichlorophenol concentration
2 4 6 tribromophenol concentration,2 4 6 tribromophenol concentration
2 4 6 trichlorophenol concentration,2 4 6 trichlorophenol concentration
2 4 dichlorophenol concentration,2 4 dichlorophenol concentration
2 4 dimethylphenol concentration,2 4 dimethylphenol concentration
2 6 dichlorophenol concentration,2 6 dichlorophenol concentration
2 chlorophenol 3 4 5 6 d4 concentration,2 chlorophenol 3 4 5 6 d4 concentration
2 chlorophenol concentration,2 chlorophenol concentration
2 fluorobiphenyl concentration,2 fluorobiphenyl concentration
2 methoxy 2 methylpropane concentration,2 methoxy 2 methylpropane concentration
2 methylphenol concentration,2 methylphenol concentration
2 nitrophenol concentration,2 nitrophenol concentration
20 day biochemical oxygen demand,20 day biochemical oxygen demand
20 day nitrogenous biochemical oxygen demand,20 day nitrogenous biochemical oxygen demand
36cl cl ratio,36cl cl ratio
4 chloro 3 methylphenol concentration,4 chloro 3 methylphenol concentration
4 isopropyltoluene concentration,4 isopropyltoluene concentration
4 methylpentan 2 one concentration,4 methylpentan 2 one concentration
4 terphenyl d14 concentration,4 terphenyl d14 concentration
5 day biochemical oxygen demand,5 day biochemical oxygen demand
5 day carbonaceous biochemical oxygen demand,5 day carbonaceous biochemical oxygen demand
5 day nitrogenous biochemical oxygen demand,5 day nitrogenous biochemical oxygen demand
absorption by colored dissolved organic matter,absorption by colored dissolved organic matter
absorption by coloured and detrital matter,absorption by coloured and detrital matter
absorption by non algal particles,absorption by non algal particles
absorption by particles,absorption by particles
absorption by phytoplankton,absorption by phytoplankton
acenaphthylene concentration,acenaphthylene concentration
actinide concentration,actinide concentration
active sediment layer thickness,active sediment layer thickness
air pressure,air pressure
air temperature,3pm temperature
air temperature,air temperature
air temperature,9am temperature
air temperature,air temperature 4m above ground level
air temperature,air temperature 1m above ground level
air temperature,minimum temperature
air temperature,air temperature 2m above ground level
air temperature,temperature inside aws electronics box
air temperature,temperature
air temperature,maximum temperature
albuminoid nitrogen concentration,albuminoid nitrogen concentration
aldrin concentration,aldrin concentration
alkali metal concentration,alkali metal concentration
alkaline earth metal concentration,alkaline earth metal concentration
alpha endosulfan concentration,alpha endosulfan concentration
alpha hexachlorocyclohexane concentration,alpha hexachlorocyclohexane concentration
aluminium concentration,aluminium concentration
ammonia and ammonium as n concentration,ammonia and ammonium as n concentration
ammonia and ammonium as nh4 concentration,ammonia and ammonium as nh4 concentration
ammonia and ammonium concentration,ammonia and ammonium concentration
ammonia as n concentration,ammonia as n concentration
ammonia concentration,ammonia concentration
ammonium as n concentration,ammonium as n concentration
ammonium nh4 concentration,ammonium nh4 concentration
anion concentration,anion concentration
anthracene concentration,anthracene concentration
anthracene d10 concentration,anthracene d10 concentration
antimony concentration,antimony concentration
arsenic concentration,arsenic concentration
attenuation coefficient with depth,attenuation coefficient with depth
backscatter by non algal particles,backscatter by non algal particles
backscatter by particles,backscatter by particles
backscatter by phytoplankton,backscatter by phytoplankton
bacteria total plate count,bacteria total plate count
barium concentration,barium concentration
barometric pressure,barometric pressure
benzaanthracene concentration,benzaanthracene concentration
benzene  toluene  ethylbenzene  xylene concentration,benzene  toluene  ethylbenzene  xylene concentration
benzene concentration,benzene concentration
benzoapyrene concentration,benzoapyrene concentration
benzobfluoranthene concentration,benzobfluoranthene concentration
benzoghiperylene concentration,benzoghiperylene concentration
benzokfluoranthene concentration,benzokfluoranthene concentration
beryllium concentration,beryllium concentration
beta endosulfan concentration,beta endosulfan concentration
bicarbonate alkalinity as caco3,bicarbonate alkalinity as caco3
bicarbonate concentration,bicarbonate concentration
biochemical oxygen demand,biochemical oxygen demand
bismuth concentration,bismuth concentration
boron concentration,boron concentration
bromide concentration,bromide concentration
bromine concentration,bromine concentration
bromobenzene concentration,bromobenzene concentration
bromochloromethane concentration,bromochloromethane concentration
bromodichloromethane concentration,bromodichloromethane concentration
bromomethane concentration,bromomethane concentration
bromophos ethyl concentration,bromophos ethyl concentration
butane concentration,butane concentration
butanone concentration,butanone concentration
c10   c14 hydrocarbon fraction concentration,c10   c14 hydrocarbon fraction concentration
c10   c236 hydrocarbon fraction concentration,c10   c236 hydrocarbon fraction concentration
c10 c14 hydrocarbon fraction concentration,c10 c14 hydrocarbon fraction concentration
c10 c236 hydrocarbon fraction concentration,c10 c236 hydrocarbon fraction concentration
c15   c28 hydrocarbon fraction concentration,c15   c28 hydrocarbon fraction concentration
c15 c28 hydrocarbon fraction concentration,c15 c28 hydrocarbon fraction concentration
c29   c36 hydrocarbon fraction concentration,c29   c36 hydrocarbon fraction concentration
c29 c36 hydrocarbon fraction concentration,c29 c36 hydrocarbon fraction concentration
c6   c9 hydrocarbon fraction concentration,c6   c9 hydrocarbon fraction concentration
c6 c9 hydrocarbon fraction concentration,c6 c9 hydrocarbon fraction concentration
cadmium concentration,cadmium concentration
caesium concentration,caesium concentration
calcium carbonate concentration,calcium carbonate concentration
calcium concentration,calcium concentration
carbon   average content,carbon   average content
carbon   dissolved inorganic concentration,carbon   dissolved inorganic concentration
carbon   dissolved organic concentration,carbon   dissolved organic concentration
carbon   inorganic concentration,carbon   inorganic concentration
carbon   organic concentration,carbon   organic concentration
carbon   suspended inorganic concentration,carbon   suspended inorganic concentration
carbon   suspended organic concentration,carbon   suspended organic concentration
carbon   suspended total,carbon   suspended total
carbon 13 concentration,carbon 13 concentration
carbon 14 concentration,carbon 14 concentration
carbon average content,carbon average content
carbon concentration,carbon concentration
carbon dioxide flux,carbon dioxide flux
carbon dioxide storage flux,carbon dioxide storage flux
carbon dissolved inorganic concentration,carbon dissolved inorganic concentration
