"Daily Weather Observations for Brisbane, Queensland for March 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 00:26 UTC on Friday 29 March 2019   IDCJDW4019.201903,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
"Most observations from Brisbane City, but some from Brisbane Airport.",,,,,,,,,,,,,,,,,,,,
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only.",,,,,,,,,,,,,,,,,,,,
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}",,,,,,,,,,,,,,,,,,,,
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (¡C),Maximum temperature (¡C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (¡C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (¡C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2019,20.1,29.3,1.2,6.6,5.2,E,28,16:11,24.8,62,7,SSW,2,1022.4,27.1,45,7,ESE,11,1020.2
2/03/2019,19.7,28.6,4.8,6.2,4.6,ESE,30,12:14,22.5,82,7,SSW,4,1022.2,25.9,56,7,E,13,1019.4
3/03/2019,19.8,29.6,3.2,6,8.8,E,30,14:15,25.1,77,7,S,6,1021.3,27.3,55,4,E,15,1018.8
4/03/2019,20.2,30,1.2,6.8,8.5,ESE,37,12:43,26.8,59,7,ESE,9,1021.1,28.8,48,1,ESE,13,1018
5/03/2019,20.3,30.8,0,9.6,9.5,E,26,14:11,27.2,54,2,ENE,13,1018.7,29.8,46,7,ENE,11,1015
6/03/2019,21.8,32.8,0.2,6.8,8,NE,31,17:08,27.1,69,7,SSW,2,1015,30.3,58,7,NE,11,1011.4
7/03/2019,22.4,34.1,0,6.4,9.5,ESE,43,16:00,27.6,67,7,SE,7,1016.3,32,48,5,ESE,17,1014.2
8/03/2019,22.3,30.5,4.4,8.8,8,E,28,15:44,26.2,72,6,E,11,1021,27.9,59,4,E,15,1019.3
9/03/2019,22.3,32,0,6.6,10.5,NE,22,17:25,28.4,55,6,ESE,7,1020.7,30.5,51,1,NE,9,1016.9
10/03/2019,23,33.3,0,8,10.4,NE,26,17:28,28.7,58,5,NNE,2,1017.9,29.9,52,4,NNE,11,1012.3
11/03/2019,23.5,34.6,0,9.8,7.1,N,28,14:35,30.4,56,7,NNE,4,1011.9,28.9,70,7,NNE,9,1007.6
12/03/2019,23.4,37.7,0.2,6.8,9.5,NE,28,13:27,30.2,50,7,NNW,7,1009.2,35.1,39,5,NNE,9,1004.3
13/03/2019,22.9,35.9,0,7.4,10,E,41,14:14,30.6,46,0,SSW,7,1011.2,31.9,49,1,ESE,20,1010
14/03/2019,23.3,32.1,0,,9.5,ENE,24,11:28,28.1,64,7,SSE,4,1014.8,28.6,61,7,NE,9,1010.9
15/03/2019,20.9,34,4.2,8.8,7,ENE,30,15:39,28.1,63,1,SW,4,1011.7,28.4,72,7,ENE,13,1007.4
16/03/2019,20.6,26.8,39.6,13.4,0,ESE,15,16:35,22.3,87,8,SSE,4,1015.1,26.3,71,7,SSE,6,1013
17/03/2019,20.5,28.3,54,2.6,1.5,S,20,0:06,24.2,82,7, ,Calm,1015.7,26.1,78,7,ENE,9,1012.1
18/03/2019,20.7,31.3,18.4,3,7.1,S,39,14:00,26,73,4,SSW,2,1014.7,21,85,6, ,Calm,1011
19/03/2019,19.1,34,18.8,5.2,10.6,NNE,19,17:52,26.5,63,0,WNW,2,1012.8,33.4,29,1,WNW,6,1008.5
20/03/2019,21.5,32.2,0,6,8.2,NE,24,16:09,27.5,65,2,SSW,6,1012.6,30.4,63,5,E,15,1009.3
21/03/2019,23.4,32.3,0,5.6,9.5,ENE,26,14:34,26.8,65,5,NNE,4,1014.9,30.1,61,3,ENE,13,1011.7
22/03/2019,22.9,30.4,0,8.4,7.6,NE,22,15:29,26.1,75,6, ,Calm,1017.2,29.6,61,4,NE,9,1013.3
23/03/2019,23.5,34.3,0,4.8,9.8,N,20,20:17,27.6,69,5,W,4,1016.8,31.1,57,1,NNE,11,1012.1
24/03/2019,22.1,34.8,0,6,10.8,NNE,20,15:55,28.7,62,0,SE,2,1015.7,32.5,53,1,NNE,9,1011.9
25/03/2019,22.6,33.3,0,6.6,8.1,NE,22,15:05,28.2,65,2,W,2,1015.5,29.8,61,7,NE,7,1012
26/03/2019,24.5,31.8,0,7.6,3.8,S,19,17:32,28.9,59,6,NW,6,1015.3,30.6,53,7,SW,4,1013.1
27/03/2019,21.3,22.8,0.4,4.4,0,SE,41,6:08,21.8,81,8,SW,6,1019.2,21.4,91,8,S,6,1018.1
28/03/2019,19.4,25.6,18,2,10.4,SE,41,12:45,22.8,76,8,SSW,4,1018.1,22.5,86,8,SSE,9,1015.1
29/03/2019,19.8,,1.2,0.8,,,,,25.2,70,6,SSW,4,1015.2,,,,,,
