class,native
degree angle,degree from north
degree angle,direction degree
degree angle,degree
degree celsius,degree celsius
hectopascal,hectopascal
hectopascal,hpa
hour,hour
kilometer per hour,kilometer per hour
megajoule per square meter,megajoule per square meter
meter,meter
meter per second,meter per second
micromole per second per square meter,micromole per second per square meter
millimeter,millimeter
millimeter per hour,millimeter per hour
okta,okta
percent,percent
second,second
watt per square meter,watt per square meter
