,f1-score,precision,recall,support
1 1 1 2 tetrachloroethane concentration,0.6666666666666666,0.5,1.0,1.0
1 1 1 trichloroethane concentration,0.6666666666666666,0.5,1.0,1.0
1 1 2 2 tetrachloroethane concentration,0.0,0.0,0.0,1.0
1 1 2 trichloroethane concentration,0.0,0.0,0.0,1.0
1 1 dichloro 1 propene concentration,1.0,1.0,1.0,1.0
1 1 dichloroethane concentration,0.6666666666666666,0.5,1.0,1.0
1 1 dichloroethene concentration,1.0,1.0,1.0,1.0
1 2 3 trichlorobenzene concentration,0.5,0.3333333333333333,1.0,1.0
1 2 3 trichloropropane concentration,1.0,1.0,1.0,1.0
1 2 4 trichlorobenzene concentration,0.0,0.0,0.0,1.0
1 2 4 trimethylbenzene concentration,0.6666666666666666,0.5,1.0,1.0
1 2 dibromo 3 chloropropane concentration,1.0,1.0,1.0,1.0
1 2 dibromoethane concentration,1.0,1.0,1.0,1.0
1 2 dichlorobenzene concentration,0.5,0.3333333333333333,1.0,1.0
1 2 dichloroethane concentration,0.0,0.0,0.0,1.0
1 2 dichloroethane d4 concentration,1.0,1.0,1.0,1.0
1 2 dichloropropane concentration,0.5,0.3333333333333333,1.0,1.0
1 2 dihydroacenaphthylene concentration,1.0,1.0,1.0,1.0
1 3 1 4 dimethylbenzene concentration,1.0,1.0,1.0,1.0
1 3 5 trimethylbenzene concentration,0.0,0.0,0.0,1.0
1 3 dichlorobenzene concentration,0.0,0.0,0.0,1.0
1 3 dichloropropane concentration,0.0,0.0,0.0,1.0
1 4 dichlorobenzene concentration,0.0,0.0,0.0,1.0
1 bromo 4 fluorobenzene concentration,1.0,1.0,1.0,1.0
1 chloro 2 methylbenzene concentration,0.6666666666666666,0.5,1.0,1.0
1 chloro 4 methylbenzene concentration,0.0,0.0,0.0,1.0
1 phenylbutane concentration,1.0,1.0,1.0,1.0
2 2 dichloropropane concentration,0.0,0.0,0.0,1.0
2 2 dimethylpropane concentration,1.0,1.0,1.0,1.0
2 4 5 trichlorophenol concentration,0.6666666666666666,0.5,1.0,1.0
2 4 6 tribromophenol concentration,1.0,1.0,1.0,1.0
2 4 6 trichlorophenol concentration,0.0,0.0,0.0,1.0
2 4 dichlorophenol concentration,0.6666666666666666,0.5,1.0,1.0
2 4 dimethylphenol concentration,1.0,1.0,1.0,1.0
2 6 dichlorophenol concentration,0.0,0.0,0.0,1.0
2 chlorophenol 3 4 5 6 d4 concentration,1.0,1.0,1.0,1.0
2 chlorophenol concentration,1.0,1.0,1.0,1.0
2 fluorobiphenyl concentration,1.0,1.0,1.0,1.0
2 methoxy 2 methylpropane concentration,1.0,1.0,1.0,1.0
2 methylphenol concentration,1.0,1.0,1.0,1.0
2 nitrophenol concentration,1.0,1.0,1.0,1.0
20 day biochemical oxygen demand,1.0,1.0,1.0,1.0
20 day nitrogenous biochemical oxygen demand,1.0,1.0,1.0,1.0
36cl cl ratio,1.0,1.0,1.0,1.0
4 chloro 3 methylphenol concentration,1.0,1.0,1.0,1.0
4 isopropyltoluene concentration,1.0,1.0,1.0,1.0
4 methylpentan 2 one concentration,1.0,1.0,1.0,1.0
4 terphenyl d14 concentration,1.0,1.0,1.0,1.0
5 day biochemical oxygen demand,1.0,1.0,1.0,1.0
5 day carbonaceous biochemical oxygen demand,1.0,1.0,1.0,1.0
5 day nitrogenous biochemical oxygen demand,1.0,1.0,1.0,1.0
absorption by colored dissolved organic matter,1.0,1.0,1.0,1.0
absorption by coloured and detrital matter,1.0,1.0,1.0,1.0
absorption by non algal particles,1.0,1.0,1.0,1.0
absorption by particles,1.0,1.0,1.0,1.0
absorption by phytoplankton,1.0,1.0,1.0,1.0
acenaphthylene concentration,1.0,1.0,1.0,1.0
actinide concentration,1.0,1.0,1.0,1.0
active sediment layer thickness,1.0,1.0,1.0,1.0
air pressure,0.0,0.0,0.0,1.0
air temperature,0.8695652173913044,0.7692307692307693,1.0,10.0
albuminoid nitrogen concentration,1.0,1.0,1.0,1.0
aldrin concentration,1.0,1.0,1.0,1.0
alkali metal concentration,1.0,1.0,1.0,1.0
alkaline earth metal concentration,1.0,1.0,1.0,1.0
alpha endosulfan concentration,1.0,1.0,1.0,1.0
alpha hexachlorocyclohexane concentration,1.0,1.0,1.0,1.0
aluminium concentration,1.0,1.0,1.0,1.0
ammonia and ammonium as n concentration,0.0,0.0,0.0,1.0
ammonia and ammonium as nh4 concentration,1.0,1.0,1.0,1.0
ammonia and ammonium concentration,0.6666666666666666,0.5,1.0,1.0
ammonia as n concentration,0.0,0.0,0.0,1.0
ammonia concentration,0.6666666666666666,0.5,1.0,1.0
ammonium as n concentration,1.0,1.0,1.0,1.0
ammonium nh4 concentration,1.0,1.0,1.0,1.0
anion concentration,1.0,1.0,1.0,1.0
anthracene concentration,1.0,1.0,1.0,1.0
anthracene d10 concentration,1.0,1.0,1.0,1.0
antimony concentration,1.0,1.0,1.0,1.0
arsenic concentration,1.0,1.0,1.0,1.0
attenuation coefficient with depth,1.0,1.0,1.0,1.0
backscatter by non algal particles,1.0,1.0,1.0,1.0
backscatter by particles,1.0,1.0,1.0,1.0
backscatter by phytoplankton,1.0,1.0,1.0,1.0
bacteria total plate count,1.0,1.0,1.0,1.0
barium concentration,1.0,1.0,1.0,1.0
barometric pressure,1.0,1.0,1.0,1.0
benzaanthracene concentration,1.0,1.0,1.0,1.0
benzene  toluene  ethylbenzene  xylene concentration,1.0,1.0,1.0,1.0
benzene concentration,1.0,1.0,1.0,1.0
benzoapyrene concentration,1.0,1.0,1.0,1.0
benzobfluoranthene concentration,1.0,1.0,1.0,1.0
benzoghiperylene concentration,1.0,1.0,1.0,1.0
benzokfluoranthene concentration,1.0,1.0,1.0,1.0
beryllium concentration,1.0,1.0,1.0,1.0
beta endosulfan concentration,1.0,1.0,1.0,1.0
bicarbonate alkalinity as caco3,1.0,1.0,1.0,1.0
bicarbonate concentration,1.0,1.0,1.0,1.0
biochemical oxygen demand,1.0,1.0,1.0,1.0
bismuth concentration,1.0,1.0,1.0,1.0
boron concentration,1.0,1.0,1.0,1.0
bromide concentration,1.0,1.0,1.0,1.0
bromine concentration,1.0,1.0,1.0,1.0
bromobenzene concentration,1.0,1.0,1.0,1.0
bromochloromethane concentration,1.0,1.0,1.0,1.0
bromodichloromethane concentration,1.0,1.0,1.0,1.0
bromomethane concentration,1.0,1.0,1.0,1.0
bromophos ethyl concentration,1.0,1.0,1.0,1.0
butane concentration,0.6666666666666666,0.5,1.0,1.0
butanone concentration,1.0,1.0,1.0,1.0
c10   c14 hydrocarbon fraction concentration,0.6666666666666666,0.5,1.0,1.0
c10   c236 hydrocarbon fraction concentration,0.6666666666666666,0.5,1.0,1.0
c10 c14 hydrocarbon fraction concentration,0.0,0.0,0.0,1.0
c10 c236 hydrocarbon fraction concentration,0.0,0.0,0.0,1.0
c15   c28 hydrocarbon fraction concentration,0.6666666666666666,0.5,1.0,1.0
c15 c28 hydrocarbon fraction concentration,0.0,0.0,0.0,1.0
c29   c36 hydrocarbon fraction concentration,0.6666666666666666,0.5,1.0,1.0
c29 c36 hydrocarbon fraction concentration,0.0,0.0,0.0,1.0
c6   c9 hydrocarbon fraction concentration,0.6666666666666666,0.5,1.0,1.0
